sample	Stage	Breeding	Sites	Urbanisation	breeding_urban
LG-NC-ad-1	adult	NC	LG	urban	NC_urban
LG-NC-lar-1	larvae	NC	LG	urban	NC_urban
LG-NC-wa-1	water	NC	LG	urban	NC_urban
LG-plas-ad-1	adult	plastic	LG	urban	plastic_urban
LG-plas-ad-2	adult	plastic	LG	urban	plastic_urban
LG-plas-ad-3	adult	plastic	LG	urban	plastic_urban
LG-plas-lar-1	larvae	plastic	LG	urban	plastic_urban
LG-plas-lar-2	larvae	plastic	LG	urban	plastic_urban
LG-plas-lar-3	larvae	plastic	LG	urban	plastic_urban
LG-plas-pu-1	pupae	plastic	LG	urban	plastic_urban
LG-plas-pu-2	pupae	plastic	LG	urban	plastic_urban
LG-plas-pu-3	pupae	plastic	LG	urban	plastic_urban
LG-plas-wa-1	water	plastic	LG	urban	plastic_urban
LG-plas-wa-2	water	plastic	LG	urban	plastic_urban
LG-plas-wa-3	water	plastic	LG	urban	plastic_urban
LG-tire-ad-1	adult	tire	LG	urban	tire_urban
LG-tire-ad-2	adult	tire	LG	urban	tire_urban
LG-tire-ad-3	adult	tire	LG	urban	tire_urban
LG-tire-lar-1	larvae	tire	LG	urban	tire_urban
LG-tire-lar-2	larvae	tire	LG	urban	tire_urban
LG-tire-lar-3	larvae	tire	LG	urban	tire_urban
LG-tire-pu-1	pupae	tire	LG	urban	tire_urban
LG-tire-pu-2	pupae	tire	LG	urban	tire_urban
LG-tire-pu-3	pupae	tire	LG	urban	tire_urban
LG-tire-wa-1	water	tire	LG	urban	tire_urban
LG-tire-wa-2	water	tire	LG	urban	tire_urban
LG-tire-wa-3	water	tire	LG	urban	tire_urban
TD-NC-ad-1	adult	NC	TD	peri-urban	NC_peri-urban
TD-NC-lar-7	larvae	NC	TD	peri-urban	NC_peri-urban
TD-NC-wa-1	water	NC	TD	peri-urban	NC_peri-urban
TD-plas-ad-1	adult	plastic	TD	peri-urban	plastic_peri-urban
TD-plas-ad-2	adult	plastic	TD	peri-urban	plastic_peri-urban
TD-plas-ad-3	adult	plastic	TD	peri-urban	plastic_peri-urban
TD-plas-lar-1	larvae	plastic	TD	peri-urban	plastic_peri-urban
TD-plas-lar-2	larvae	plastic	TD	peri-urban	plastic_peri-urban
TD-plas-lar-3	larvae	plastic	TD	peri-urban	plastic_peri-urban
TD-plas-pu-1	pupae	plastic	TD	peri-urban	plastic_peri-urban
TD-plas-pu-2	pupae	plastic	TD	peri-urban	plastic_peri-urban
TD-plas-pu-3	pupae	plastic	TD	peri-urban	plastic_peri-urban
TD-plas-wa-1	water	plastic	TD	peri-urban	plastic_peri-urban
TD-plas-wa-2	water	plastic	TD	peri-urban	plastic_peri-urban
TD-plas-wa-3	water	plastic	TD	peri-urban	plastic_peri-urban
TD-tire-ad-1	adult	tire	TD	peri-urban	tire_peri-urban
TD-tire-ad-2	adult	tire	TD	peri-urban	tire_peri-urban
TD-tire-ad-3	adult	tire	TD	peri-urban	tire_peri-urban
TD-tire-lar-1	larvae	tire	TD	peri-urban	tire_peri-urban
TD-tire-lar-2	larvae	tire	TD	peri-urban	tire_peri-urban
TD-tire-lar-3	larvae	tire	TD	peri-urban	tire_peri-urban
TD-tire-pu-1	pupae	tire	TD	peri-urban	tire_peri-urban
TD-tire-pu-2	pupae	tire	TD	peri-urban	tire_peri-urban
TD-tire-pu-3	pupae	tire	TD	peri-urban	tire_peri-urban
TD-tire-wa-1	water	tire	TD	peri-urban	tire_peri-urban
TD-tire-wa-2	water	tire	TD	peri-urban	tire_peri-urban
TD-tire-wa-3	water	tire	TD	peri-urban	tire_peri-urban
