clean_Phylum	LG-plas-ad-1	LG-plas-ad-2	LG-plas-ad-3	LG-plas-lar-1	LG-plas-lar-2	LG-plas-lar-3	LG-plas-pu-1	LG-plas-pu-2	LG-plas-pu-3	LG-plas-wa-1	LG-plas-wa-2	LG-plas-wa-3	LG-tire-ad-1	LG-tire-ad-2	LG-tire-ad-3	LG-tire-lar-1	LG-tire-lar-2	LG-tire-lar-3	LG-tire-pu-1	LG-tire-pu-2	LG-tire-pu-3	LG-tire-wa-1	LG-tire-wa-2	LG-tire-wa-3	TD-plas-ad-1	TD-plas-ad-2	TD-plas-ad-3	TD-plas-lar-1	TD-plas-lar-2	TD-plas-lar-3	TD-plas-pu-1	TD-plas-pu-2	TD-plas-pu-3	TD-plas-wa-1	TD-plas-wa-2	TD-plas-wa-3	TD-tire-ad-1	TD-tire-ad-2	TD-tire-ad-3	TD-tire-lar-1	TD-tire-lar-2	TD-tire-lar-3	TD-tire-pu-1	TD-tire-pu-2	TD-tire-pu-3	TD-tire-wa-1	TD-tire-wa-2	TD-tire-wa-3
Actinobacteriota	0.39	1.04	0.71	1.41	0.73	3.72	0.95	2.22	2.06	1.77	1.8	3.29	1.58	1.14	0.61	10.9	11.4	12.65	2.59	0.36	3.34	29.13	22.72	21.11	1	0.49	0.83	12.03	19.09	28.51	0.21	0.94	4.24	7.08	3.68	5.97	0.91	1.2	1.11	19.17	21.77	16.53	1.91	1.57	2.1	18.5	17.63	14.51
Bacteroidota	0.48	0.91	0.81	4.39	0.89	2.24	3.86	2.32	3.05	9.38	9.56	7.13	1.17	0.44	1.35	2.58	1.87	2.44	2.94	0.4	3.94	16.02	24.88	18.1	1.59	1.16	1.36	0.81	0.8	0.6	0.47	1.52	5.19	9.7	3.59	9.34	0.78	2.68	1.48	0.8	0.69	0.44	1.75	0.21	1.54	2.08	2.03	1.55
Chloroflexi	0	0	0	0.07	0.13	0.3	0.08	0.02	0	0.21	0.19	0.32	0.05	0	0	0.81	2.16	2.85	0	0.03	0.09	0.29	0.33	0.49	0	0	0	0.68	0.48	0.56	0	0	0.21	0	0.03	0.1	0.08	0.2	0.02	5.43	5.54	4.43	0.17	0	0.08	2.61	1.64	0.41
Cyanobacteria	1.39	2.1	2.52	0.18	0.46	0.54	2.38	2.83	2.57	0.52	0.5	0.72	1.06	2.37	2.01	0.86	0.83	0.65	3.04	0.43	1.05	0.24	0.16	0.42	2.75	1.58	0.88	4.51	7.33	2.11	1.29	2.57	1.63	0.74	0.61	0.5	1.35	3.26	1.48	0.44	0.35	0.4	2.68	1.61	3.13	0.21	0.25	0.28
Firmicutes	0.78	0.4	2.26	1.65	5.8	4.6	5.19	1.59	1.49	10.85	9.77	14.28	0.12	0.89	0.64	5.66	2.53	4.02	1.13	0.7	0.99	0.83	0.83	1.01	1.28	0.69	1.58	2.15	2.17	2.73	0.38	3.31	1.25	0.82	0.88	2.73	0.23	0.38	0.81	8.46	14.09	15.15	0.72	0.41	1.17	4.09	3.06	3.13
Patescibacteria	0.24	0	0.08	0.49	0	0	0.2	0	0	0.12	0.08	0.27	0	0.12	0.36	0.31	0.32	0.25	0	0.22	0.24	3.01	1.96	2.34	0.16	0	0.18	0	0.08	0.12	0	0.07	0.53	0.51	0.34	0.56	0.17	0.31	0	0.22	0.24	0.37	0.34	0.03	0.24	5.88	6.01	5.43
Planctomycetota	0.55	0.49	0.22	0.16	0.23	0.74	0.75	1.41	1.01	0.47	0.52	0.82	1.1	0.18	0.11	0.54	1.25	0.66	1.95	0.35	0.41	0.21	0.11	0.37	1.03	0.93	0.53	1.34	1.52	0.63	0.89	0.15	1.92	0.56	0.42	0.37	0.41	1.86	0.56	0.98	0.72	1.62	0.74	1.74	0.42	0.99	0.73	0.54
Proteobacteria	93.75	91.52	90.68	43.99	43.59	77.87	68	75.27	74.33	24.68	26.57	30.9	91.56	91.48	93.35	73.45	39.08	43.83	81.56	96.39	86.37	45.02	45.16	51.52	88.23	92.76	90.88	74.52	66.21	61.83	94.37	88.83	81.1	71.91	86.38	72.67	94.11	85.58	93.11	48.54	45.13	50.46	85.53	89.85	86.49	53.35	56.06	65.59
Verrucomicrobiota	0.17	1	0.92	0.03	0.07	0.04	0.26	0.33	0.43	0.44	0.35	0.3	0	0.13	0.62	0.2	0.37	0.25	0.33	0.33	0.58	0.56	0.36	0.48	0.85	0.3	0.2	0.61	0.18	0.15	0	0.3	0.8	4.09	1.88	3.88	0.25	0.59	0.25	0.15	0.08	0.42	0.5	0.07	0.65	1.04	0.99	0.82
Others	2.25	2.55	1.81	47.64	48.1	9.94	18.32	14.01	15.07	51.57	50.65	41.97	3.35	3.26	0.95	4.67	40.2	32.39	6.47	0.79	2.97	4.68	3.48	4.17	3.11	2.09	3.55	3.35	2.14	2.77	2.39	2.31	3.13	4.58	2.18	3.89	1.7	3.94	1.18	15.83	11.39	10.18	5.66	4.52	4.18	11.24	11.59	7.74
